d1980s,d2010s
149,163
150,166
154,170
154,170
154,170
155,170
155,172
156,172
158,172
160,175
160,175
160,175
160,175
160,176
160,177
160,177
160,177
160,178
163,179
165,179
165,179
165,180
165,180
165,180
165,180
165,180
165,181
165,181
165,181
165,181
165,181
165,182
167,182
168,183
168,183
168,183
169,183
169,183
169,184
169,185
169,185
169,185
169,185
169,185
170,185
170,185
170,185
170,185
170,185
170,185
170,185
171,185
171,185
172,185
174,185
174,186
174,186
174,186
174,187
174,187
175,188
175,188
175,188
175,189
175,189
175,189
175,189
175,190
175,190
175,190
175,190
175,190
175,190
175,190
175,190
176,190
176,190
176,191
176,191
177,191
178,191
178,192
180,192
180,192
180,192
180,192
180,193
180,194
180,194
180,194
180,194
180,194
180,195
180,195
180,195
180,195
180,195
180,195
180,195
180,195
180,196
180,196
180,196
181,196
181,197
182,197
182,197
182,197
182,198
182,198
182,198
185,198
185,198
185,198
185,199
185,199
185,200
185,200
185,200
185,200
185,200
185,200
185,201
185,201
185,201
185,201
185,201
185,201
185,201
185,202
187,202
188,202
189,202
189,202
189,202
189,203
189,203
189,203
189,203
190,204
190,205
190,205
190,205
190,205
190,205
190,205
192,205
193,205
194,205
194,206
195,206
195,206
195,206
195,206
195,206
196,206
198,207
198,207
198,208
198,208
200,208
200,208
200,208
200,209
201,209
201,209
205,209
205,209
205,209
205,209
209,210
209,210
210,210
210,210
214,210
224,210
,210
,210
,210
,210
,210
,210
,211
,212
,213
,213
,214
,214
,214
,215
,215
,215
,215
,215
,215
,215
,215
,215
,216
,217
,217
,217
,217
,218
,218
,219
,220
,220
,220
,220
,220
,220
,220
,222
,223
,224
,225
,225
,226
,232
,232
,238
,243
,250
