date,expinfl
1/1/2020,1.73
2/1/2020,1.62
3/1/2020,1.27
4/1/2020,1.16
5/1/2020,1.16
6/1/2020,1.23
7/1/2020,1.35
8/1/2020,1.34
9/1/2020,1.35
10/1/2020,1.34
11/1/2020,1.38
12/1/2020,1.42
1/1/2021,1.38
2/1/2021,1.43
3/1/2021,1.50
4/1/2021,1.58
5/1/2021,1.58
6/1/2021,1.60
7/1/2021,1.62
8/1/2021,1.58
9/1/2021,1.64
10/1/2021,1.61
11/1/2021,1.76
12/1/2021,1.76
1/1/2022,1.80
2/1/2022,1.92
3/1/2022,1.95
4/1/2022,2.21
5/1/2022,2.37
6/1/2022,2.40
7/1/2022,2.22
8/1/2022,2.10
9/1/2022,2.37
10/1/2022,2.37
11/1/2022,2.45
12/1/2022,2.22
1/1/2023,2.29
2/1/2023,2.11
3/1/2023,2.26
4/1/2023,2.10
5/1/2023,2.16
6/1/2023,1.75
7/1/2023,2.06
8/1/2023,2.14
9/1/2023,2.22
10/1/2023,2.36
11/1/2023,2.38
12/1/2023,2.28
1/1/2024,2.16
2/1/2024,2.15
3/1/2024,2.22
4/1/2024,2.34
5/1/2024,2.45
6/1/2024,2.37
7/1/2024,2.37
8/1/2024,2.16
9/1/2024,2.12
10/1/2024,2.12
11/1/2024,2.33
12/1/2024,2.32
1/1/2025,2.44
2/1/2025,2.47
3/1/2025,2.30
4/1/2025,2.35
5/1/2025,2.31
6/1/2025,2.35
7/1/2025,2.34
8/1/2025,2.28
9/1/2025,2.30
10/1/2025,2.29


